director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,movie_facebook_likes,NumberedGenre,NumberedRating,SimpleScore
Michael Bay,366.0,150.0,0.0,894.0,402076689.0,Adventure,Glenn Morshower,Transformers: Revenge of the Fallen ,323207,3218,1439.0,English,USA,PG-13,200000000.0,2009.0,6.0,0,20,1,3
Michael Bay,378.0,165.0,0.0,974.0,245428137.0,Adventure,Bingbing Li,Transformers: Age of Extinction ,242420,3988,918.0,English,USA,PG-13,210000000.0,2014.0,5.7,56000,20,1,3
Sam Raimi,525.0,130.0,0.0,44000.0,234903076.0,Fantasy,Tim Holmes,Oz the Great and Powerful ,175409,73441,511.0,English,USA,PG,215000000.0,2013.0,6.4,60000,13,3,3
Marc Webb,495.0,142.0,464.0,15000.0,202853933.0,Adventure,Emma Stone,The Amazing Spider-Man 2 ,321227,28631,1067.0,English,USA,PG-13,200000000.0,2014.0,6.7,41000,20,1,3
Joseph Kosinski,469.0,125.0,364.0,12000.0,172051787.0,Sci-Fi,Jeff Bridges,TRON: Legacy ,264183,25550,665.0,English,USA,PG,170000000.0,2010.0,6.8,30000,6,3,3
John Lasseter,304.0,106.0,487.0,1000.0,191450875.0,Comedy,Joe Mantegna,Cars 2 ,101178,4482,283.0,English,USA,G,200000000.0,2011.0,6.3,10000,12,6,3
Martin Campbell,436.0,123.0,258.0,16000.0,116593191.0,Adventure,Ryan Reynolds,Green Lantern ,223393,17657,550.0,English,USA,PG-13,200000000.0,2011.0,5.6,24000,20,1,3
Lee Unkrich,453.0,103.0,125.0,15000.0,414984497.0,Adventure,Tom Hanks,Toy Story 3 ,544884,19085,733.0,English,USA,G,200000000.0,2010.0,8.3,30000,20,6,4
McG,422.0,118.0,368.0,23000.0,125320003.0,Adventure,Christian Bale,Terminator Salvation ,286095,27468,974.0,English,USA,PG-13,200000000.0,2009.0,6.6,0,20,1,3
James Wan,424.0,140.0,0.0,26000.0,350034110.0,Crime,Jason Statham,Furious 7 ,278232,79150,657.0,English,USA,PG-13,190000000.0,2015.0,7.2,94000,16,1,3
Marc Forster,654.0,123.0,395.0,17000.0,202351611.0,Horror,Peter Capaldi,World War Z ,465019,32392,995.0,English,USA,PG-13,190000000.0,2013.0,7.0,129000,11,1,3
Bryan Singer,539.0,149.0,0.0,34000.0,233914986.0,Thriller,Jennifer Lawrence,X-Men: Days of Future Past ,514125,91434,752.0,English,USA,PG-13,200000000.0,2014.0,8.0,82000,14,1,4
J.J. Abrams,590.0,132.0,14000.0,19000.0,228756232.0,Action,Benedict Cumberbatch,Star Trek Into Darkness ,395573,21411,1171.0,English,USA,PG-13,190000000.0,2013.0,7.8,92000,10,1,4
Bryan Singer,338.0,114.0,0.0,979.0,65171860.0,Adventure,Eddie Marsan,Jack the Giant Slayer ,106416,1766,205.0,English,USA,PG-13,195000000.0,2013.0,6.3,22000,20,1,3
Mike Newell,306.0,116.0,179.0,15000.0,90755643.0,Romance,Jake Gyllenhaal,Prince of Persia: The Sands of Time ,222403,16149,453.0,English,USA,PG-13,200000000.0,2010.0,6.6,23000,3,1,3
Guillermo del Toro,575.0,131.0,0.0,16000.0,101785482.0,Action,Charlie Hunnam,Pacific Rim ,381148,19166,1106.0,English,USA,PG-13,190000000.0,2013.0,7.0,83000,10,1,3
Michael Bay,428.0,154.0,0.0,894.0,352358779.0,Sci-Fi,Glenn Morshower,Transformers: Dark of the Moon ,326180,2593,899.0,English,USA,PG-13,195000000.0,2011.0,6.3,46000,6,1,3
Steven Spielberg,470.0,122.0,14000.0,11000.0,317011114.0,Action,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull ,333847,14959,2054.0,English,USA,PG-13,185000000.0,2008.0,6.2,5000,10,1,3
Peter Sohn,298.0,93.0,113.0,275.0,123070338.0,Animation,A.J. Buckley,The Good Dinosaur ,62836,696,345.0,English,USA,PG,39752620.43638761,2015.0,6.8,20000,7,3,3
Mark Andrews,488.0,93.0,56.0,2000.0,237282182.0,Fantasy,Kelly Macdonald,Brave ,273556,5005,428.0,English,USA,PG,185000000.0,2012.0,7.2,39000,13,3,3
Justin Lin,322.0,122.0,681.0,998.0,130468626.0,Sci-Fi,Sofia Boutella,Star Trek Beyond ,53607,1327,432.0,English,USA,PG-13,185000000.0,2016.0,7.5,30000,6,1,4
Andrew Stanton,421.0,98.0,475.0,1000.0,223806889.0,Family,John Ratzenberger,WALL·E ,718837,2975,1043.0,English,USA,G,180000000.0,2008.0,8.4,16000,4,6,4
Brett Ratner,162.0,91.0,420.0,268.0,140080850.0,Action,Tzi Ma,Rush Hour 3 ,121084,1125,221.0,English,USA,PG-13,140000000.0,2007.0,6.2,0,10,1,3
Roland Emmerich,367.0,158.0,776.0,1000.0,166112167.0,Adventure,Oliver Platt,2012 ,283418,2144,1055.0,English,USA,PG-13,200000000.0,2009.0,5.8,13000,20,1,3
Robert Zemeckis,240.0,96.0,0.0,18000.0,137850096.0,Animation,Robin Wright,A Christmas Carol ,72809,48878,249.0,English,USA,PG,200000000.0,2009.0,6.8,0,7,3,3
Lana Wachowski,384.0,127.0,0.0,17000.0,47375327.0,Sci-Fi,Channing Tatum,Jupiter Ascending ,139593,47334,720.0,English,USA,PG-13,176000000.0,2015.0,5.4,44000,6,1,3
David Yates,248.0,110.0,282.0,11000.0,124051759.0,Drama,Christoph Waltz,The Legend of Tarzan ,42372,21175,239.0,English,USA,PG-13,180000000.0,2016.0,6.6,29000,9,1,3
Andrew Adamson,284.0,150.0,80.0,1000.0,291709845.0,Family,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",286506,1317,1463.0,English,USA,PG,180000000.0,2005.0,6.9,0,4,3,3
Bryan Singer,396.0,144.0,0.0,34000.0,154985087.0,Sci-Fi,Jennifer Lawrence,X-Men: Apocalypse ,148379,49684,622.0,English,USA,PG-13,178000000.0,2016.0,7.3,54000,6,1,3
Christopher Nolan,645.0,152.0,22000.0,23000.0,533316061.0,Drama,Christian Bale,The Dark Knight ,1676169,57802,4667.0,English,USA,PG-13,185000000.0,2008.0,9.0,37000,9,1,4
Pete Docter,408.0,96.0,0.0,1000.0,292979556.0,Animation,John Ratzenberger,Up ,665575,2635,704.0,English,USA,PG,175000000.0,2009.0,8.3,27000,7,3,4
Rob Letterman,219.0,94.0,11.0,1000.0,198332128.0,Action,Amy Poehler,Monsters vs. Aliens ,114553,2579,187.0,English,USA,PG,175000000.0,2009.0,6.5,0,10,3,3
Jon Favreau,486.0,126.0,4000.0,21000.0,318298180.0,Sci-Fi,Robert Downey Jr.,Iron Man ,696338,39252,1055.0,English,USA,PG-13,140000000.0,2008.0,7.9,10000,6,1,4
Martin Scorsese,682.0,126.0,17000.0,17000.0,73820094.0,Mystery,Chloë Grace Moretz,Hugo ,245333,36017,678.0,English,USA,PG,170000000.0,2011.0,7.5,42000,0,3,4
Barry Sonnenfeld,85.0,106.0,188.0,10000.0,113745408.0,Comedy,Will Smith,Wild Wild West ,129601,15870,648.0,English,USA,PG-13,170000000.0,1999.0,4.8,0,12,1,2
Rob Cohen,264.0,112.0,357.0,5000.0,102176165.0,Fantasy,Jet Li,The Mummy: Tomb of the Dragon Emperor ,117927,9131,501.0,English,USA,PG-13,145000000.0,2008.0,5.2,0,13,1,3
David Ayer,418.0,123.0,452.0,10000.0,161087183.0,Comedy,Will Smith,Suicide Squad ,118992,11287,971.0,English,USA,PG-13,175000000.0,2016.0,6.9,80000,12,1,3
Tom Shadyac,186.0,96.0,293.0,87000.0,100289690.0,Family,Jimmy Bennett,Evan Almighty ,115099,108016,257.0,English,USA,PG,175000000.0,2007.0,5.4,2000,4,3,3
Doug Liman,585.0,113.0,218.0,10000.0,100189501.0,Sci-Fi,Tom Cruise,Edge of Tomorrow ,431620,12652,741.0,English,USA,PG-13,178000000.0,2014.0,7.9,77000,6,1,4
Kevin Reynolds,91.0,176.0,58.0,711.0,88246220.0,Thriller,Jeanne Tripplehorn,Waterworld ,144337,1004,309.0,English,USA,PG-13,175000000.0,1995.0,6.1,0,14,1,3
Stephen Sommers,250.0,118.0,208.0,23000.0,150167630.0,Action,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra ,174578,26683,534.0,English,USA,PG-13,175000000.0,2009.0,5.8,0,10,1,3
Pete Docter,536.0,95.0,0.0,1000.0,356454367.0,Comedy,Amy Poehler,Inside Out ,345198,2944,773.0,English,USA,PG,175000000.0,2015.0,8.3,118000,12,3,4
Jon Favreau,453.0,124.0,4000.0,21000.0,312057433.0,Action,Robert Downey Jr.,Iron Man 2 ,522371,48638,723.0,English,USA,PG-13,200000000.0,2010.0,7.0,18000,10,1,3
Rupert Sanders,416.0,132.0,274.0,26000.0,155111815.0,Adventure,Chris Hemsworth,Snow White and the Huntsman ,228554,72881,710.0,English,USA,PG-13,170000000.0,2012.0,6.1,53000,20,1,3
Robert Stromberg,401.0,97.0,171.0,11000.0,241407328.0,Action,Angelina Jolie Pitt,Maleficent ,252257,15516,634.0,English,USA,PG,180000000.0,2014.0,7.0,89000,10,3,3
Matt Reeves,521.0,130.0,198.0,10000.0,208543795.0,Adventure,Gary Oldman,Dawn of the Planet of the Apes ,317542,14363,620.0,English,USA,PG-13,170000000.0,2014.0,7.6,45000,20,1,4
Carl Rinsch,218.0,128.0,47.0,18000.0,38297305.0,Drama,Keanu Reeves,47 Ronin ,116994,20965,324.0,English,USA,PG-13,175000000.0,2013.0,6.3,35000,9,1,3
Anthony Russo,576.0,136.0,94.0,19000.0,259746958.0,Sci-Fi,Scarlett Johansson,Captain America: The Winter Soldier ,496749,36188,742.0,English,USA,PG-13,170000000.0,2014.0,7.8,55000,6,1,4
Mike Mitchell,226.0,93.0,31.0,4000.0,238371987.0,Adventure,Jon Hamm,Shrek Forever After ,138661,4628,173.0,English,USA,PG,165000000.0,2010.0,6.4,0,20,3,3
Brad Bird,443.0,130.0,663.0,2000.0,93417865.0,Family,Judy Greer,Tomorrowland ,128306,5046,497.0,English,USA,PG,190000000.0,2015.0,6.5,37000,4,3,3
Don Hall,384.0,102.0,38.0,756.0,222487711.0,Action,Damon Wayans Jr.,Big Hero 6 ,279093,2963,433.0,English,USA,PG,165000000.0,2014.0,7.9,41000,10,3,4
Rich Moore,377.0,101.0,66.0,975.0,189412677.0,Family,Jack McBrayer,Wreck-It Ralph ,272534,4451,345.0,English,USA,PG,165000000.0,2012.0,7.8,40000,4,3,4
Robert Zemeckis,188.0,100.0,0.0,15000.0,665426.0,Adventure,Tom Hanks,The Polar Express ,120798,16264,444.0,English,USA,G,165000000.0,2004.0,6.6,10000,20,6,3
Roland Emmerich,286.0,120.0,776.0,890.0,102315545.0,Sci-Fi,Vivica A. Fox,Independence Day: Resurgence ,58137,3233,520.0,English,USA,PG-13,165000000.0,2016.0,5.5,67000,6,1,3
Dean DeBlois,288.0,98.0,255.0,18000.0,217387997.0,Animation,Gerard Butler,How to Train Your Dragon ,485430,20453,492.0,English,USA,PG,165000000.0,2010.0,8.2,33000,7,3,4
Jonathan Mostow,280.0,109.0,84.0,648.0,150350192.0,Sci-Fi,Nick Stahl,Terminator 3: Rise of the Machines ,305340,1769,1676.0,English,USA,R,200000000.0,2003.0,6.4,0,6,4,3
James Gunn,653.0,121.0,571.0,14000.0,333130696.0,Adventure,Bradley Cooper,Guardians of the Galaxy ,682155,32438,1097.0,English,USA,PG-13,170000000.0,2014.0,8.1,96000,20,1,4
Christopher Nolan,712.0,169.0,22000.0,11000.0,187991439.0,Adventure,Matthew McConaughey,Interstellar ,928227,31488,2725.0,English,USA,PG-13,165000000.0,2014.0,8.6,349000,20,1,4
Christopher Nolan,642.0,148.0,22000.0,29000.0,292568851.0,Action,Leonardo DiCaprio,Inception ,1468200,81115,2803.0,English,USA,PG-13,160000000.0,2010.0,8.8,175000,10,1,4
Peter Jackson,645.0,182.0,0.0,5000.0,303001229.0,Adventure,Aidan Turner,The Hobbit: An Unexpected Journey ,637246,9152,1367.0,English,USA,PG-13,180000000.0,2012.0,7.9,166000,20,1,4
Rob Cohen,187.0,106.0,357.0,23000.0,144512310.0,Thriller,Paul Walker,The Fast and the Furious ,272223,45327,988.0,English,USA,PG-13,38000000.0,2001.0,6.7,14000,14,1,3
David Fincher,362.0,166.0,21000.0,11000.0,127490802.0,Romance,Brad Pitt,The Curious Case of Benjamin Button ,459346,13333,822.0,English,USA,PG-13,150000000.0,2008.0,7.8,23000,3,1,4
Matthew Vaughn,500.0,132.0,905.0,34000.0,146405371.0,Sci-Fi,Jennifer Lawrence,X-Men: First Class ,518537,50983,698.0,English,USA,PG-13,160000000.0,2011.0,7.8,54000,6,1,4
Francis Lawrence,389.0,137.0,508.0,34000.0,281666058.0,Sci-Fi,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2 ,166137,81385,383.0,English,USA,PG-13,160000000.0,2015.0,6.6,38000,6,1,3
Jon Turteltaub,235.0,109.0,226.0,12000.0,63143812.0,Action,Nicolas Cage,The Sorcerer's Apprentice ,124185,13388,238.0,English,USA,PG,150000000.0,2010.0,6.1,11000,10,3,3
Wolfgang Petersen,231.0,98.0,249.0,87000.0,60655503.0,Drama,Jimmy Bennett,Poseidon ,82380,92456,629.0,English,USA,PG-13,160000000.0,2006.0,5.6,0,9,1,3
James Bobin,218.0,113.0,33.0,40000.0,76846624.0,Family,Johnny Depp,Alice Through the Looking Glass ,21352,80806,131.0,English,USA,PG,170000000.0,2016.0,6.4,30000,4,3,3
Chris Miller,227.0,93.0,50.0,3000.0,320706665.0,Fantasy,Justin Timberlake,Shrek the Third ,211971,4705,326.0,English,USA,PG,160000000.0,2007.0,6.1,0,13,3,3
Duncan Jones,275.0,123.0,0.0,3000.0,46978995.0,Adventure,Dominic Cooper,Warcraft ,111609,5505,781.0,English,USA,PG-13,160000000.0,2016.0,7.3,89000,20,1,3
Alan Taylor,474.0,126.0,230.0,24000.0,89732035.0,Sci-Fi,J.K. Simmons,Terminator Genisys ,188457,38873,867.0,English,USA,PG-13,155000000.0,2015.0,6.6,82000,6,1,3
Michael Apted,228.0,113.0,150.0,531.0,104383624.0,Fantasy,Bruce Spence,The Chronicles of Narnia: The Voyage of the Dawn Treader ,106446,764,227.0,English,USA,PG,155000000.0,2010.0,6.3,11000,13,3,3
Michael Bay,191.0,184.0,0.0,3000.0,198539855.0,Romance,Jennifer Garner,Pearl Harbor ,254111,5401,1999.0,English,USA,PG-13,140000000.0,2001.0,6.1,0,3,1,3
Michael Bay,396.0,144.0,0.0,662.0,318759914.0,Adventure,Zack Ward,Transformers ,513158,2333,1782.0,English,USA,PG-13,150000000.0,2007.0,7.1,8000,20,1,3
Peter Berg,318.0,102.0,532.0,10000.0,227946274.0,Drama,Will Smith,Hancock ,343648,21584,590.0,English,USA,PG-13,150000000.0,2008.0,6.4,0,9,1,3
Francis Lawrence,323.0,104.0,508.0,10000.0,256386216.0,Drama,Will Smith,I Am Legend ,530870,13076,1413.0,English,USA,PG-13,150000000.0,2007.0,7.2,11000,9,1,3
Tim Burton,276.0,115.0,13000.0,40000.0,206456431.0,Fantasy,Johnny Depp,Charlie and the Chocolate Factory ,320284,57844,1361.0,English,USA,PG,150000000.0,2005.0,6.7,0,13,3,3
Brad Bird,318.0,111.0,663.0,1000.0,206435493.0,Animation,Janeane Garofalo,Ratatouille ,473887,4764,626.0,English,USA,G,150000000.0,2007.0,8.0,10000,7,6,4
Christopher Nolan,478.0,128.0,22000.0,23000.0,205343774.0,Action,Christian Bale,Batman Begins ,980946,59558,2685.0,English,USA,PG-13,150000000.0,2005.0,8.3,15000,10,1,4
Eric Darnell,167.0,89.0,35.0,1000.0,179982968.0,Comedy,Bernie Mac,Madagascar: Escape 2 Africa ,146019,3285,119.0,English,USA,PG,150000000.0,2008.0,6.7,0,12,3,3
Shawn Levy,185.0,105.0,189.0,49000.0,177243721.0,Fantasy,Robin Williams,Night at the Museum: Battle of the Smithsonian ,130272,54039,209.0,English,USA,PG,150000000.0,2009.0,5.9,2000,13,3,3
Gavin Hood,350.0,119.0,151.0,20000.0,179883016.0,Adventure,Hugh Jackman,X-Men Origins: Wolverine ,361924,40054,641.0,English,USA,PG-13,150000000.0,2009.0,6.7,0,20,1,3
Chris Buck,406.0,102.0,69.0,1000.0,400736600.0,Fantasy,Josh Gad,Frozen ,421658,2582,904.0,English,USA,PG,150000000.0,2013.0,7.6,58000,13,3,4
Lana Wachowski,275.0,138.0,0.0,234.0,281492479.0,Sci-Fi,Steve Bastoni,The Matrix Reloaded ,421818,534,2789.0,English,USA,R,150000000.0,2003.0,7.2,0,6,4,3
Alan Taylor,486.0,112.0,230.0,26000.0,206360018.0,Adventure,Chris Hemsworth,Thor: The Dark World ,414070,59803,532.0,English,USA,PG-13,170000000.0,2013.0,7.1,63000,20,1,3
Ron Howard,298.0,146.0,2000.0,15000.0,133375846.0,Thriller,Tom Hanks,Angels & Demons ,207839,16948,435.0,English,USA,PG-13,150000000.0,2009.0,6.7,0,14,1,3
Kenneth Branagh,516.0,115.0,0.0,26000.0,181015141.0,Adventure,Chris Hemsworth,Thor ,536314,60059,738.0,English,USA,PG-13,150000000.0,2011.0,7.0,63000,20,1,3
Byron Howard,225.0,96.0,59.0,17000.0,114053579.0,Animation,Chloë Grace Moretz,Bolt ,146766,20007,178.0,English,USA,PG,150000000.0,2008.0,6.9,0,7,3,3
Hoyt Yeatman,145.0,88.0,12.0,730.0,119420252.0,Comedy,Kelli Garner,G-Force ,33042,2217,90.0,English,USA,PG,150000000.0,2009.0,5.1,0,12,3,3
Jonathan Liebesman,310.0,99.0,473.0,14000.0,83640426.0,Action,Liam Neeson,Wrath of the Titans ,152826,16184,253.0,English,USA,PG-13,150000000.0,2012.0,5.8,19000,10,1,3
Tim Burton,526.0,113.0,13000.0,40000.0,79711678.0,Horror,Johnny Depp,Dark Shadows ,199039,80849,479.0,English,USA,PG-13,100000000.0,2012.0,6.2,82000,11,1,3
Joe Johnston,357.0,119.0,394.0,12000.0,61937495.0,Drama,Anthony Hopkins,The Wolfman ,89442,13071,432.0,English,USA,R,150000000.0,2010.0,5.8,0,9,4,3
David Yates,248.0,110.0,282.0,11000.0,124051759.0,Action,Christoph Waltz,The Legend of Tarzan ,42372,21175,239.0,English,USA,PG-13,180000000.0,2016.0,6.6,29000,10,1,3
Steve Hickner,194.0,91.0,58.0,2000.0,126597121.0,Animation,Matthew Broderick,Bee Movie ,105902,6576,206.0,English,USA,PG,150000000.0,2007.0,6.2,0,7,3,3
Jennifer Yuh Nelson,284.0,90.0,90.0,11000.0,165230261.0,Action,Angelina Jolie Pitt,Kung Fu Panda 2 ,182718,21015,209.0,English,USA,PG,150000000.0,2011.0,7.3,20000,10,3,3
M. Night Shyamalan,280.0,103.0,0.0,1000.0,131564731.0,Adventure,Seychelle Gabriel,The Last Airbender ,118951,2857,1382.0,English,USA,PG,150000000.0,2010.0,4.2,18000,20,3,2
J.J. Abrams,310.0,124.0,14000.0,22000.0,133382309.0,Adventure,Philip Seymour Hoffman,Mission: Impossible III ,256695,34817,871.0,English,USA,PG-13,150000000.0,2006.0,6.9,0,20,1,3
Roland Emmerich,339.0,131.0,776.0,17000.0,73103784.0,Drama,Channing Tatum,White House Down ,164238,18204,434.0,English,USA,PG-13,150000000.0,2013.0,6.4,33000,9,1,3
Simon Wells,132.0,88.0,25.0,921.0,21379315.0,Family,Elisabeth Harnois,Mars Needs Moms ,17590,2652,112.0,English,USA,PG,150000000.0,2011.0,5.4,0,4,3,3
Joe Wright,256.0,111.0,456.0,20000.0,34964818.0,Family,Hugh Jackman,Pan ,39956,21393,186.0,English,USA,PG,150000000.0,2015.0,5.8,24000,4,3,3
Rob Minkoff,196.0,92.0,50.0,3000.0,111505642.0,Animation,Ty Burrell,Mr. Peabody & Sherman ,47900,5810,130.0,English,USA,PG,145000000.0,2014.0,6.9,11000,7,3,3
Wolfgang Petersen,220.0,196.0,249.0,11000.0,133228348.0,Adventure,Brad Pitt,Troy ,381672,17944,1694.0,English,USA,R,175000000.0,2004.0,7.2,0,20,4,3
Eric Darnell,211.0,93.0,35.0,851.0,216366733.0,Family,Jada Pinkett Smith,Madagascar 3: Europe's Most Wanted ,119213,2444,154.0,English,USA,PG,145000000.0,2012.0,6.9,17000,4,3,3
Paul Feig,464.0,116.0,176.0,783.0,118099659.0,Sci-Fi,Ed Begley Jr.,Ghostbusters ,69757,2097,1211.0,English,USA,PG-13,144000000.0,2016.0,5.5,62000,6,1,3
Michael Bay,167.0,153.0,0.0,13000.0,201573391.0,Action,Bruce Willis,Armageddon ,322395,26029,1171.0,English,USA,PG-13,140000000.0,1998.0,6.6,11000,10,1,3
Barry Sonnenfeld,208.0,88.0,188.0,10000.0,190418803.0,Fantasy,Will Smith,Men in Black II ,270207,14823,606.0,English,USA,PG-13,140000000.0,2002.0,6.1,2000,13,1,3
Robert Zemeckis,287.0,115.0,0.0,18000.0,82161969.0,Animation,Robin Wright,Beowulf ,142440,31523,505.0,English,USA,PG-13,150000000.0,2007.0,6.3,3000,7,1,3
Alessandro Carloni,210.0,95.0,5.0,24000.0,143523463.0,Action,J.K. Simmons,Kung Fu Panda 3 ,64322,36095,145.0,English,USA,PG,145000000.0,2016.0,7.2,24000,10,3,3
Brad Bird,432.0,133.0,663.0,10000.0,209364921.0,Adventure,Tom Cruise,Mission: Impossible - Ghost Protocol ,365104,21768,512.0,English,USA,PG-13,145000000.0,2011.0,7.4,35000,20,1,3
Peter Ramsey,256.0,97.0,52.0,20000.0,103400692.0,Fantasy,Hugh Jackman,Rise of the Guardians ,123553,20645,174.0,English,USA,PG,145000000.0,2012.0,7.3,25000,13,3,3
